member_id,customer_name,gender,age,city,region,membership_tier,join_date,preferred_store_format,is_active_member
M00001,John Costa,Female,23,Suzhou,East China,Silver,2023-09-14,Shopping Center Warehouse,1
M00002,Marie Christian,Male,38,Guangzhou,South China,Silver,2025-10-04,Mall Warehouse,1
M00003,Jamie Stewart,Male,30,Chongqing,West China,Gold,2025-03-23,Mall Warehouse,1
M00004,Shelia Johnson,Male,23,Suzhou,East China,Silver,2022-08-15,Warehouse Outlet,1
M00005,Tammie Bright,Male,46,Changsha,Central China,Silver,2025-05-03,Shopping Center Warehouse,0
M00006,Brett Schultz,Female,22,Shanghai,East China,Silver,2025-11-02,Community Warehouse,1
M00007,Michael Berger,Female,46,Nanjing,East China,Silver,2022-07-14,Warehouse Outlet,1
M00008,Elaine Brooks,Female,42,Hangzhou,East China,Gold,2022-12-06,Pop-up Clearance Warehouse,1
M00009,Kylie Sparks,Female,32,Chongqing,West China,Silver,2023-01-11,Shopping Center Warehouse,1
M00010,Seth Harvey,Unknown,42,Chongqing,West China,Silver,2023-04-24,Community Warehouse,1
M00011,Briana Murray,Male,25,Wuhan,Central China,Platinum,2023-05-14,Warehouse Outlet,1
M00012,Adam Ballard,Male,30,Tianjin,North China,Gold,2025-12-14,Shopping Center Warehouse,1
M00013,Brooke Alexander,Female,31,Suzhou,East China,Silver,2023-09-24,Shopping Center Warehouse,1
M00014,Margaret Coleman,Female,22,Chengdu,West China,Gold,2023-05-08,Mall Warehouse,1
M00015,Christina Cruz,Male,30,Shanghai,East China,Gold,2024-04-12,Warehouse Outlet,1
M00016,Kenneth Andrews,Male,48,Chongqing,West China,Gold,2026-04-27,Mall Warehouse,1
M00017,William Barrett,Male,30,Qingdao,North China,Gold,2023-06-13,Shopping Center Warehouse,1
M00018,Melissa Garner,Female,47,Chongqing,West China,Gold,2022-07-18,Community Warehouse,1
M00019,Kathleen Strong,Female,29,Changsha,Central China,Platinum,2023-06-30,Warehouse Outlet,1
M00020,Lisa Gomez,Female,39,Suzhou,East China,Silver,2024-11-23,Mall Warehouse,1
M00021,Megan Le,Male,28,Nanjing,East China,Gold,2024-12-26,Warehouse Outlet,1
M00022,Lori Berger,Male,28,Suzhou,East China,Silver,2024-12-07,Shopping Center Warehouse,1
M00023,Jeremiah Riley,Unknown,28,Shanghai,East China,Diamond,2025-04-11,Warehouse Outlet,1
M00024,Edward Burgess,Male,28,Chongqing,West China,Gold,2023-01-19,Warehouse Outlet,1
M00025,Joshua Mata,Female,28,Xiamen,South China,Platinum,2024-06-21,Mall Warehouse,1
M00026,Sandra Scott,Male,54,Beijing,North China,Silver,2025-08-24,Shopping Center Warehouse,1
M00027,Dr. Paul Morgan,Male,18,Beijing,North China,Gold,2022-10-23,Shopping Center Warehouse,1
M00028,Brenda Levy,Female,22,Xiamen,South China,Silver,2025-10-15,Mall Warehouse,1
M00029,Veronica Coffey,Male,45,Suzhou,East China,Silver,2025-07-26,Pop-up Clearance Warehouse,1
M00030,Richard Smith,Female,30,Shanghai,East China,Gold,2024-06-29,Pop-up Clearance Warehouse,0
M00031,Michael Chambers,Female,44,Xiamen,South China,Gold,2024-09-08,Mall Warehouse,1
M00032,Teresa Rodriguez,Male,21,Nanjing,East China,Silver,2023-04-14,Warehouse Outlet,1
M00033,Stephen Hoffman,Male,53,Nanjing,East China,Silver,2026-01-04,Community Warehouse,0
M00034,Arthur Colon,Male,30,Shenzhen,South China,Silver,2025-12-26,Warehouse Outlet,1
M00035,Jason Taylor,Female,20,Changsha,Central China,Silver,2026-02-18,Mall Warehouse,1
M00036,Johnathan Davis,Female,22,Changsha,Central China,Silver,2025-11-24,Mall Warehouse,1
M00037,Jesse Santiago,Female,34,Hangzhou,East China,Gold,2025-04-27,Mall Warehouse,1
M00038,Jennifer Newton,Female,34,Qingdao,North China,Silver,2022-12-19,Warehouse Outlet,1
M00039,Brett Burns,Female,23,Nanjing,East China,Gold,2023-12-25,Community Warehouse,1
M00040,Amanda Wood,Male,33,Changsha,Central China,Silver,2024-02-14,Warehouse Outlet,0
M00041,Savannah Garcia,Male,45,Hangzhou,East China,Platinum,2025-02-02,Shopping Center Warehouse,1
M00042,Vanessa Howard,Male,33,Changsha,Central China,Gold,2023-12-10,Warehouse Outlet,1
M00043,Bryan Charles,Male,39,Chengdu,West China,Platinum,2024-03-02,Community Warehouse,1
M00044,Maria Harper,Female,30,Nanjing,East China,Silver,2022-06-08,Warehouse Outlet,1
M00045,Dana Martinez,Male,42,Qingdao,North China,Silver,2024-08-09,Warehouse Outlet,1
M00046,Phillip Clark,Male,34,Guangzhou,South China,Silver,2023-03-19,Warehouse Outlet,0
M00047,Erin Hernandez,Male,45,Chongqing,West China,Platinum,2025-12-13,Shopping Center Warehouse,1
M00048,Scott Thomas,Female,25,Chongqing,West China,Gold,2022-11-13,Mall Warehouse,1
M00049,Christopher Guerrero,Female,43,Suzhou,East China,Diamond,2022-06-14,Warehouse Outlet,1
M00050,Richard Young,Female,49,Xiamen,South China,Silver,2023-08-24,Community Warehouse,1
M00051,Anthony Harmon,Male,29,Shanghai,East China,Silver,2024-06-14,Warehouse Outlet,1
M00052,Karen Strickland,Female,31,Hangzhou,East China,Gold,2024-05-26,Community Warehouse,1
M00053,Jonathan Dougherty,Female,21,Suzhou,East China,Gold,2022-07-10,Community Warehouse,1
M00054,Sharon Boyd,Male,30,Chongqing,West China,Diamond,2024-03-07,Mall Warehouse,1
M00055,Amy Mendoza,Unknown,50,Chengdu,West China,Silver,2023-12-15,Warehouse Outlet,1
M00056,Katherine Browning,Male,23,Qingdao,North China,Gold,2022-08-23,Pop-up Clearance Warehouse,1
M00057,Lee Jones,Male,22,Xi'an,West China,Silver,2023-06-13,Mall Warehouse,1
M00058,Kimberly Nguyen,Male,42,Shenzhen,South China,Silver,2026-04-30,Warehouse Outlet,1
M00059,Jody Jacobs,Female,19,Changsha,Central China,Silver,2022-09-29,Mall Warehouse,1
M00060,Sarah Curtis,Female,18,Xiamen,South China,Silver,2025-06-04,Warehouse Outlet,1
M00061,Cindy Hayes,Male,27,Suzhou,East China,Silver,2023-04-06,Mall Warehouse,1
M00062,Jesse Perry,Unknown,37,Xi'an,West China,Silver,2022-09-23,Shopping Center Warehouse,1
M00063,Maurice Brooks,Female,27,Beijing,North China,Silver,2022-12-17,Pop-up Clearance Warehouse,1
M00064,Andrea Decker,Male,34,Chengdu,West China,Silver,2022-09-21,Warehouse Outlet,1
M00065,Parker Cain,Male,33,Changsha,Central China,Gold,2024-07-28,Shopping Center Warehouse,1
M00066,Kristina Rivera,Male,42,Tianjin,North China,Silver,2022-11-02,Warehouse Outlet,1
M00067,Maurice Christensen,Female,51,Shenzhen,South China,Gold,2025-10-27,Warehouse Outlet,1
M00068,Tracy Burke,Female,41,Nanjing,East China,Diamond,2023-10-03,Warehouse Outlet,1
M00069,Christy Douglas,Male,41,Xi'an,West China,Gold,2023-03-31,Warehouse Outlet,1
M00070,Ryan Richardson,Male,42,Chengdu,West China,Gold,2025-05-26,Warehouse Outlet,1
M00071,Renee Bruce,Unknown,36,Shanghai,East China,Platinum,2026-03-31,Warehouse Outlet,1
M00072,Lisa Day,Male,41,Wuhan,Central China,Gold,2022-06-15,Shopping Center Warehouse,1
M00073,Sandra Adams,Female,38,Xi'an,West China,Platinum,2023-01-26,Community Warehouse,1
M00074,Ellen Morgan,Male,31,Shanghai,East China,Gold,2022-05-16,Warehouse Outlet,1
M00075,Kylie Morales,Male,27,Changsha,Central China,Platinum,2022-12-01,Warehouse Outlet,1
M00076,Amanda Reese,Female,28,Hangzhou,East China,Silver,2023-03-18,Community Warehouse,1
M00077,Glen Wood,Male,31,Chengdu,West China,Gold,2025-03-27,Community Warehouse,1
M00078,Latoya Miller,Female,31,Xi'an,West China,Platinum,2022-07-23,Shopping Center Warehouse,1
M00079,Luke Craig,Female,38,Hangzhou,East China,Silver,2023-06-09,Warehouse Outlet,1
M00080,Karla Ramos,Male,31,Suzhou,East China,Diamond,2023-06-11,Community Warehouse,1
M00081,Ashley Jordan,Female,38,Chengdu,West China,Gold,2023-06-25,Shopping Center Warehouse,1
M00082,Katelyn Estrada,Female,29,Xi'an,West China,Silver,2022-07-13,Shopping Center Warehouse,1
M00083,Kyle Smith,Female,34,Guangzhou,South China,Silver,2023-07-22,Community Warehouse,1
M00084,Chad Scott,Male,27,Chengdu,West China,Diamond,2023-08-30,Mall Warehouse,1
M00085,Paul Thompson,Female,24,Chongqing,West China,Platinum,2023-11-14,Community Warehouse,1
M00086,Kathryn Whitaker,Female,41,Shanghai,East China,Silver,2025-07-28,Mall Warehouse,1
M00087,Scott Williams,Male,34,Wuhan,Central China,Silver,2022-06-04,Shopping Center Warehouse,1
M00088,Shannon Johnston,Female,21,Chengdu,West China,Platinum,2024-08-22,Mall Warehouse,1
M00089,Jennifer Wilson,Female,33,Guangzhou,South China,Gold,2022-06-07,Warehouse Outlet,1
M00090,Robert Montgomery,Female,31,Shanghai,East China,Silver,2025-09-04,Warehouse Outlet,0
M00091,Anita Richard,Female,45,Beijing,North China,Gold,2023-04-28,Warehouse Outlet,1
M00092,Kelly Foster,Female,36,Nanjing,East China,Gold,2023-08-04,Shopping Center Warehouse,1
M00093,Gary Jackson,Female,27,Shenzhen,South China,Gold,2024-05-22,Shopping Center Warehouse,0
M00094,Jordan Bullock,Male,42,Beijing,North China,Gold,2023-09-30,Shopping Center Warehouse,1
M00095,Sabrina Briggs,Unknown,31,Shanghai,East China,Silver,2023-04-18,Warehouse Outlet,1
M00096,Craig Morrison,Unknown,33,Beijing,North China,Silver,2025-05-22,Warehouse Outlet,1
M00097,Cassandra Mejia,Female,26,Tianjin,North China,Silver,2024-04-28,Warehouse Outlet,1
M00098,Olivia Cole,Male,24,Beijing,North China,Platinum,2026-01-17,Shopping Center Warehouse,1
M00099,Madison Weber,Male,25,Xi'an,West China,Gold,2025-10-21,Warehouse Outlet,1
M00100,Brittany Jones,Male,31,Changsha,Central China,Silver,2024-02-13,Pop-up Clearance Warehouse,1
M00101,Donald Brown,Male,24,Nanjing,East China,Gold,2024-05-18,Warehouse Outlet,1
M00102,Jesse Brown,Male,36,Guangzhou,South China,Silver,2025-09-04,Shopping Center Warehouse,1
M00103,Sean Wyatt,Female,30,Shenzhen,South China,Silver,2024-10-22,Mall Warehouse,1
M00104,Julie Spencer,Unknown,37,Beijing,North China,Silver,2025-07-07,Mall Warehouse,0
M00105,Joanna Pacheco,Male,24,Suzhou,East China,Silver,2024-12-15,Warehouse Outlet,1
M00106,John Hernandez,Female,48,Xi'an,West China,Silver,2022-08-06,Shopping Center Warehouse,0
M00107,Steven Cooper,Female,43,Qingdao,North China,Silver,2025-03-16,Community Warehouse,1
M00108,Carrie Wright,Female,38,Chongqing,West China,Silver,2024-02-06,Mall Warehouse,1
M00109,Joseph Moore,Male,19,Hangzhou,East China,Platinum,2023-11-03,Warehouse Outlet,1
M00110,Jason Morgan,Male,26,Suzhou,East China,Silver,2024-09-27,Shopping Center Warehouse,0
M00111,Maria Jones,Female,33,Chongqing,West China,Gold,2022-09-23,Mall Warehouse,1
M00112,Diane Cummings,Female,42,Guangzhou,South China,Silver,2024-12-22,Mall Warehouse,1
M00113,Shelley Cook,Female,25,Wuhan,Central China,Platinum,2024-09-05,Mall Warehouse,0
M00114,Gregory Ponce,Male,27,Hangzhou,East China,Silver,2025-02-21,Shopping Center Warehouse,1
M00115,Kurt Hurley,Female,32,Nanjing,East China,Platinum,2023-08-03,Pop-up Clearance Warehouse,1
M00116,Rickey Li,Male,26,Shenzhen,South China,Gold,2025-01-11,Warehouse Outlet,1
M00117,Nancy Jennings,Male,34,Nanjing,East China,Gold,2024-06-15,Warehouse Outlet,1
M00118,Jessica Cox,Male,30,Shanghai,East China,Diamond,2023-10-19,Shopping Center Warehouse,1
M00119,Daniel Meza,Male,44,Beijing,North China,Silver,2024-04-17,Community Warehouse,1
M00120,Chad Jones,Male,33,Xi'an,West China,Gold,2025-09-22,Warehouse Outlet,1
M00121,Randy Conley,Female,45,Suzhou,East China,Silver,2025-11-19,Warehouse Outlet,1
M00122,George Miranda,Male,39,Chengdu,West China,Silver,2022-11-15,Warehouse Outlet,1
M00123,Christopher Guerra,Female,44,Guangzhou,South China,Silver,2025-06-07,Pop-up Clearance Warehouse,1
M00124,Carol Kim,Female,18,Chengdu,West China,Silver,2023-12-29,Pop-up Clearance Warehouse,1
M00125,Cynthia Wallace,Male,29,Guangzhou,South China,Silver,2023-06-28,Mall Warehouse,1
M00126,Joann Ferguson,Female,44,Changsha,Central China,Platinum,2023-08-03,Community Warehouse,1
M00127,Julie Conley,Male,45,Xi'an,West China,Silver,2023-10-27,Warehouse Outlet,1
M00128,Victoria Murray,Male,31,Chongqing,West China,Silver,2023-06-23,Warehouse Outlet,1
M00129,Joseph Burch,Female,30,Changsha,Central China,Gold,2025-08-13,Shopping Center Warehouse,0
M00130,Brenda Wright,Unknown,31,Xiamen,South China,Silver,2024-11-29,Warehouse Outlet,1
M00131,Kristen Garcia,Female,21,Suzhou,East China,Silver,2025-09-24,Warehouse Outlet,1
M00132,Dominique Hines,Female,18,Xiamen,South China,Gold,2023-06-10,Mall Warehouse,1
M00133,Brittany Kim,Male,34,Xi'an,West China,Silver,2026-02-18,Warehouse Outlet,0
M00134,Jerry Bailey,Male,18,Changsha,Central China,Gold,2022-06-15,Shopping Center Warehouse,1
M00135,Jonathan Young,Male,24,Nanjing,East China,Diamond,2026-04-30,Pop-up Clearance Warehouse,1
